id,학교명,학급 수,예측 교원 수
0,강동고등학교,10.0,30.883000000000003
1,강북고등학교,10.0,30.883000000000003
2,경덕여자고등학교,6.0,23.119
3,경명여자고등학교,8.0,27.001
4,경북고등학교,12.0,34.765
5,경북공업고등학교,10.0,30.883000000000003
6,경북기계공업고등학교,11.0,32.824
7,경북대학교사범대학부설고등학교,10.0,30.883000000000003
8,경북여자고등학교,10.0,30.883000000000003
9,경북여자상업고등학교,7.0,25.060000000000002
10,경북예술고등학교,16.0,42.529
11,경상고등학교,9.0,28.942
12,경상공업고등학교,10.0,30.883000000000003
13,경상여자고등학교,9.0,28.942
14,경신고등학교,8.0,27.001
15,경원고등학교,11.0,32.824
16,경일여자고등학교,6.0,23.119
17,경화여자고등학교,7.0,25.060000000000002
18,계성고등학교,11.0,32.824
19,대구보건고등학교,10.0,30.883000000000003
20,구암고등학교,10.0,30.883000000000003
21,능인고등학교,11.0,32.824
22,다사고등학교,5.0,21.178
23,달구벌고등학교,1.0,13.414000000000001
24,달서고등학교,5.0,21.178
25,달성고등학교,11.0,32.824
26,대건고등학교,9.0,28.942
27,대곡고등학교,10.0,30.883000000000003
28,대구고등학교,9.0,28.942
29,대구공업고등학교,13.0,36.706
30,대구공업고등학교테크노폴리스캠퍼스,2.0,15.355
31,대구과학고등학교,3.0,17.296
32,대구과학기술고등학교,9.0,28.942
33,대구관광고등학교,8.0,27.001
34,대구국제고등학교,4.0,19.237000000000002
35,대구남산고등학교,11.0,32.824
36,대구농업마이스터고등학교,4.0,19.237000000000002
37,대구달서공업고등학교,6.0,23.119
38,대구동부고등학교,11.0,32.824
39,대구상원고등학교,12.0,34.765
40,대구서부고등학교,7.0,25.060000000000002
41,대구소프트웨어마이스터고등학교,2.0,15.355
42,대구여자고등학교,12.0,34.765
43,대구여자상업고등학교,8.0,27.001
44,대구외국어고등학교,4.0,19.237000000000002
45,대구일과학고등학교,2.0,15.355
46,대구일마이스터고등학교,4.0,19.237000000000002
47,대구전자공업고등학교,8.0,27.001
48,대구제일고등학교,9.0,28.942
49,대구제일여자상업고등학교,8.0,27.001
50,대구중앙고등학교,9.0,28.942
51,대구체육고등학교,2.0,15.355
52,대구혜화여자고등학교,10.0,30.883000000000003
53,대륜고등학교,13.0,36.706
54,대원고등학교,9.0,28.942
55,대중금속공업고등학교,4.0,19.237000000000002
56,대진고등학교,9.0,28.942
57,덕원고등학교,13.0,36.706
58,도원고등학교,8.0,27.001
59,동문고등학교,10.0,30.883000000000003
60,매천고등학교,9.0,28.942
61,비슬고등학교,16.0,42.529
62,상서고등학교,13.0,36.706
63,상인고등학교,8.0,27.001
64,성광고등학교,7.0,25.060000000000002
65,성산고등학교,8.0,27.001
66,성서고등학교,9.0,28.942
67,성화여자고등학교,10.0,30.883000000000003
68,송현여자고등학교,10.0,30.883000000000003
69,수성고등학교,8.0,27.001
70,시지고등학교,14.0,38.647
71,신명고등학교,8.0,27.001
72,심인고등학교,6.0,23.119
73,영남고등학교,15.0,40.588
74,영남공업고등학교,12.0,34.765
75,영송여자고등학교,7.0,25.060000000000002
76,영신고등학교,9.0,28.942
77,영진고등학교,7.0,25.060000000000002
78,오성고등학교,7.0,25.060000000000002
79,와룡고등학교,7.0,25.060000000000002
80,운암고등학교,10.0,30.883000000000003
81,원화여자고등학교,11.0,32.824
82,정동고등학교,7.0,25.060000000000002
83,정화여자고등학교,10.0,30.883000000000003
84,조일고등학교,6.0,23.119
85,청구고등학교,10.0,30.883000000000003
86,칠성고등학교,5.0,21.178
87,포산고등학교,5.0,21.178
88,학남고등학교,11.0,32.824
89,함지고등학교,8.0,27.001
90,현풍고등학교,5.0,21.178
91,협성고등학교,6.0,23.119
92,호산고등학교,8.0,27.001
93,화원고등학교,9.0,28.942
94,효성여자고등학교,9.0,28.942
