id,학교명,학급 수,예측 교원 수
0,강동고등학교,24.0,58.057
1,강북고등학교,25.0,59.998
2,경덕여자고등학교,14.0,38.647
3,경명여자고등학교,19.0,48.352
4,경북고등학교,27.0,63.88
5,경북공업고등학교,23.0,56.116
6,경북기계공업고등학교,25.0,59.998
7,경북대학교사범대학부설고등학교,25.0,59.998
8,경북여자고등학교,24.0,58.057
9,경북여자상업고등학교,16.0,42.529
10,경북예술고등학교,39.0,87.172
11,경상고등학교,20.0,50.293
12,경상공업고등학교,24.0,58.057
13,경상여자고등학교,21.0,52.234
14,경신고등학교,19.0,48.352
15,경원고등학교,27.0,63.88
16,경일여자고등학교,15.0,40.588
17,경화여자고등학교,16.0,42.529
18,계성고등학교,26.0,61.939
19,대구보건고등학교,25.0,59.998
20,구암고등학교,24.0,58.057
21,능인고등학교,27.0,63.88
22,다사고등학교,12.0,34.765
23,달구벌고등학교,3.0,17.296
24,달서고등학교,13.0,36.706
25,달성고등학교,27.0,63.88
26,대건고등학교,21.0,52.234
27,대곡고등학교,24.0,58.057
28,대구고등학교,21.0,52.234
29,대구공업고등학교,31.0,71.644
30,대구공업고등학교테크노폴리스캠퍼스,5.0,21.178
31,대구과학고등학교,9.0,28.942
32,대구과학기술고등학교,20.0,50.293
33,대구관광고등학교,19.0,48.352
34,대구국제고등학교,9.0,28.942
35,대구남산고등학교,25.0,59.998
36,대구농업마이스터고등학교,10.0,30.883000000000003
37,대구달서공업고등학교,15.0,40.588
38,대구동부고등학교,25.0,59.998
39,대구상원고등학교,29.0,67.762
40,대구서부고등학교,18.0,46.411
41,대구소프트웨어마이스터고등학교,6.0,23.119
42,대구여자고등학교,29.0,67.762
43,대구여자상업고등학교,19.0,48.352
44,대구외국어고등학교,9.0,28.942
45,대구일과학고등학교,5.0,21.178
46,대구일마이스터고등학교,10.0,30.883000000000003
47,대구전자공업고등학교,20.0,50.293
48,대구제일고등학교,21.0,52.234
49,대구제일여자상업고등학교,18.0,46.411
50,대구중앙고등학교,22.0,54.175
51,대구체육고등학교,5.0,21.178
52,대구혜화여자고등학교,25.0,59.998
53,대륜고등학교,31.0,71.644
54,대원고등학교,21.0,52.234
55,대중금속공업고등학교,10.0,30.883000000000003
56,대진고등학교,22.0,54.175
57,덕원고등학교,31.0,71.644
58,도원고등학교,18.0,46.411
59,동문고등학교,24.0,58.057
60,매천고등학교,21.0,52.234
61,비슬고등학교,37.0,83.29
62,상서고등학교,31.0,71.644
63,상인고등학교,19.0,48.352
64,성광고등학교,18.0,46.411
65,성산고등학교,18.0,46.411
66,성서고등학교,21.0,52.234
67,성화여자고등학교,25.0,59.998
68,송현여자고등학교,23.0,56.116
69,수성고등학교,19.0,48.352
70,시지고등학교,34.0,77.467
71,신명고등학교,18.0,46.411
72,심인고등학교,15.0,40.588
73,영남고등학교,36.0,81.349
74,영남공업고등학교,28.0,65.821
75,영송여자고등학교,17.0,44.47
76,영신고등학교,22.0,54.175
77,영진고등학교,17.0,44.47
78,오성고등학교,18.0,46.411
79,와룡고등학교,17.0,44.47
80,운암고등학교,24.0,58.057
81,원화여자고등학교,25.0,59.998
82,정동고등학교,18.0,46.411
83,정화여자고등학교,24.0,58.057
84,조일고등학교,14.0,38.647
85,청구고등학교,23.0,56.116
86,칠성고등학교,12.0,34.765
87,포산고등학교,13.0,36.706
88,학남고등학교,26.0,61.939
89,함지고등학교,20.0,50.293
90,현풍고등학교,13.0,36.706
91,협성고등학교,16.0,42.529
92,호산고등학교,20.0,50.293
93,화원고등학교,22.0,54.175
94,효성여자고등학교,21.0,52.234
