id,학교명,학급 수,예측 교원 수
219,경북대학교사범대학부설초등학교,6.0,14.363
220,계성초등학교,8.0,17.171
221,남대구초등학교,2.0,8.747
222,대구가창초등학교,1.0,7.343
223,대구감삼초등학교,2.0,8.747
224,대구감천초등학교,3.0,10.151
225,대구강동초등학교,11.0,21.383
226,대구강림초등학교,10.0,19.979
227,대구강북초등학교,8.0,17.171
228,대구경동초등학교,21.0,35.423
229,대구경운초등학교,5.0,12.959
230,대구경진초등학교,1.0,7.343
231,대구고산초등학교,8.0,17.171
232,대구공산초등학교,1.0,7.343
233,대구관남초등학교,3.0,10.151
234,대구관문초등학교,11.0,21.383
235,대구관음초등학교,2.0,8.747
236,대구관천초등학교,2.0,8.747
237,대구교동초등학교,2.0,8.747
238,대구교육대학교대구부설초등학교,4.0,11.555
239,대구구암초등학교,3.0,10.151
240,대구구지초등학교,5.0,12.959
241,대구국우초등학교,3.0,10.151
242,대구금계초등학교,1.0,7.343
243,대구금포초등학교,1.0,7.343
244,대구남덕초등학교,2.0,8.747
245,대구남도초등학교,5.0,12.959
246,대구남동초등학교,2.0,8.747
247,대구남명초등학교,2.0,8.747
248,대구남부초등학교,3.0,10.151
249,대구남산초등학교,14.0,25.595
250,대구남송초등학교,3.0,10.151
251,대구내당초등학교,4.0,11.555
252,대구내서초등학교,2.0,8.747
253,대구노변초등학교,8.0,17.171
254,대구노전초등학교,4.0,11.555
255,대구논공초등학교,2.0,8.747
256,대구다사초등학교,10.0,19.979
257,대구달산초등학교,11.0,21.383
258,대구달서초등학교,8.0,17.171
259,대구달성초등학교,3.0,10.151
260,대구대곡초등학교,5.0,12.959
261,대구대남초등학교,4.0,11.555
262,대구대덕초등학교,2.0,8.747
263,대구대명초등학교,6.0,14.363
264,대구대봉초등학교,5.0,12.959
265,대구대산초등학교,1.0,7.343
266,대구대서초등학교,6.0,14.363
267,대구대성초등학교,1.0,7.343
268,대구대실초등학교,14.0,25.595
269,대구대진초등학교,5.0,12.959
270,대구대천초등학교,4.0,11.555
271,대구대청초등학교,14.0,25.595
272,대구덕성초등학교,2.0,8.747
273,대구덕인초등학교,4.0,11.555
274,대구도남초등학교,6.0,14.363
275,대구도림초등학교,4.0,11.555
276,대구도원초등학교,4.0,11.555
277,대구동곡초등학교,0.0,5.939
278,대구동덕초등학교,2.0,8.747
279,대구동도초등학교,16.0,28.403
280,대구동문초등학교,2.0,8.747
281,대구동변초등학교,7.0,15.767
282,대구동부초등학교,2.0,8.747
283,대구동산초등학교,3.0,10.151
284,대구동성초등학교,10.0,19.979
285,대구동신초등학교,7.0,15.767
286,대구동원초등학교,5.0,12.959
287,대구동인초등학교,3.0,10.151
288,대구동일초등학교,6.0,14.363
289,대구동천초등학교,19.0,32.614999999999995
290,대구동촌초등학교,5.0,12.959
291,대구동평초등학교,10.0,19.979
292,대구동호초등학교,5.0,12.959
293,대구두류초등학교,1.0,7.343
294,대구두산초등학교,3.0,10.151
295,대구들안길초등학교,5.0,12.959
296,대구만촌초등학교,3.0,10.151
297,대구매곡초등학교,6.0,14.363
298,대구매동초등학교,3.0,10.151
299,대구매천초등학교,4.0,11.555
300,대구매호초등학교,6.0,14.363
301,대구명곡초등학교,2.0,8.747
302,대구명덕초등학교,3.0,10.151
303,대구문성초등학교,5.0,12.959
304,대구반송초등학교,0.0,5.939
305,대구반야월초등학교,9.0,18.575
306,대구방촌초등학교,3.0,10.151
307,대구범물초등학교,1.0,7.343
308,대구범어초등학교,8.0,17.171
309,대구범일초등학교,8.0,17.171
310,대구복명초등학교,3.0,10.151
311,대구복현초등학교,11.0,21.383
312,대구본리초등학교,13.0,24.191
313,대구봉덕초등학교,8.0,17.171
314,대구봉무초등학교,10.0,19.979
315,대구북동초등학교,2.0,8.747
316,대구북부초등학교,2.0,8.747
317,대구북비산초등학교,1.0,7.343
318,대구불로초등학교,3.0,10.151
319,대구비봉초등학교,1.0,7.343
320,대구비산초등학교,3.0,10.151
321,대구비슬초등학교,15.0,26.999
322,대구사수초등학교,11.0,21.383
323,대구사월초등학교,13.0,24.191
324,대구산격초등학교,4.0,11.555
325,대구삼덕초등학교,5.0,12.959
326,대구삼영초등학교,7.0,15.767
327,대구삼육초등학교,2.0,8.747
328,대구상원초등학교,3.0,10.151
329,대구상인초등학교,5.0,12.959
330,대구새론초등학교,13.0,24.191
331,대구서도초등학교,3.0,10.151
332,대구서동초등학교,12.0,22.787
333,대구서변초등학교,4.0,11.555
334,대구서부초등학교,3.0,10.151
335,대구서재초등학교,8.0,17.171
336,대구서촌초등학교,0.0,5.939
337,대구서평초등학교,1.0,7.343
338,대구선원초등학교,3.0,10.151
339,대구성곡초등학교,3.0,10.151
340,대구성남초등학교,3.0,10.151
341,대구성당초등학교,10.0,19.979
342,대구성동초등학교,17.0,29.807
343,대구성명초등학교,3.0,10.151
344,대구성북초등학교,4.0,11.555
345,대구성산초등학교,4.0,11.555
346,대구성서초등학교,3.0,10.151
347,대구성지초등학교,4.0,11.555
348,대구세천초등학교,16.0,28.403
349,대구세현초등학교,13.0,24.191
350,대구송일초등학교,5.0,12.959
351,대구송정초등학교,9.0,18.575
352,대구송현초등학교,3.0,10.151
353,대구수성초등학교,8.0,17.171
354,대구수창초등학교,4.0,11.555
355,대구숙천초등학교,7.0,15.767
356,대구시지초등학교,3.0,10.151
357,대구신당초등학교,1.0,7.343
358,대구신매초등학교,6.0,14.363
359,대구신서초등학교,2.0,8.747
360,대구신성초등학교,4.0,11.555
361,대구신암초등학교,8.0,17.171
362,대구신월초등학교,14.0,25.595
363,대구신천초등학교,9.0,18.575
364,대구신흥초등학교,4.0,11.555
365,대구아양초등학교,2.0,8.747
366,대구안일초등학교,7.0,15.767
367,대구연경초등학교,7.0,15.767
368,대구영선초등학교,3.0,10.151
369,대구옥산초등학교,8.0,17.171
370,대구옥포초등학교,3.0,10.151
371,대구와룡초등학교,5.0,12.959
372,대구왕선초등학교,7.0,15.767
373,대구용계초등학교,4.0,11.555
374,대구용산초등학교,4.0,11.555
375,대구용전초등학교,4.0,11.555
376,대구용지초등학교,8.0,17.171
377,대구용천초등학교,19.0,32.614999999999995
378,대구용호초등학교,5.0,12.959
379,대구욱수초등학교,6.0,14.363
380,대구운암초등학교,6.0,14.363
381,대구월곡초등학교,1.0,7.343
382,대구월배초등학교,5.0,12.959
383,대구월서초등학교,12.0,22.787
384,대구월성초등학교,2.0,8.747
385,대구월암초등학교,14.0,25.595
386,대구월촌초등학교,5.0,12.959
387,대구유가초등학교,19.0,32.614999999999995
388,대구유천초등학교,9.0,18.575
389,대구율금초등학교,8.0,17.171
390,대구율원초등학교,10.0,19.979
391,대구율하초등학교,3.0,10.151
392,대구이곡초등학교,4.0,11.555
393,대구이현초등학교,0.0,5.939
394,대구인지초등학교,4.0,11.555
395,대구입석초등학교,3.0,10.151
396,대구장기초등학교,6.0,14.363
397,대구장동초등학교,12.0,22.787
398,대구장산초등학교,5.0,12.959
399,대구장성초등학교,2.0,8.747
400,대구조암초등학교,7.0,15.767
401,대구조야초등학교,0.0,5.939
402,대구종로초등학교,1.0,7.343
403,대구죽곡초등학교,8.0,17.171
404,대구죽전초등학교,3.0,10.151
405,대구중리초등학교,1.0,7.343
406,대구중앙초등학교,10.0,19.979
407,대구지묘초등학교,3.0,10.151
408,대구지봉초등학교,2.0,8.747
409,대구지산초등학교,2.0,8.747
410,대구진월초등학교,3.0,10.151
411,대구진천초등학교,5.0,12.959
