id,학교명,학급 수,예측 교원 수
0,강동고등학교,26.0,61.939
1,강북고등학교,30.0,69.703
2,경덕여자고등학교,17.0,44.47
3,경명여자고등학교,24.0,58.057
4,경북고등학교,34.0,77.467
5,경북공업고등학교,28.0,65.821
6,경북기계공업고등학교,33.0,75.526
7,경북대학교사범대학부설고등학교,29.0,67.762
8,경북여자고등학교,29.0,67.762
9,경북여자상업고등학교,20.0,50.293
10,경북예술고등학교,49.0,106.58200000000001
11,경상고등학교,25.0,59.998
12,경상공업고등학교,34.0,77.467
13,경상여자고등학교,25.0,59.998
14,경신고등학교,23.0,56.116
15,경원고등학교,34.0,77.467
16,경일여자고등학교,18.0,46.411
17,경화여자고등학교,20.0,50.293
18,계성고등학교,31.0,71.644
19,대구보건고등학교,31.0,71.644
20,구암고등학교,28.0,65.821
21,능인고등학교,33.0,75.526
22,다사고등학교,14.0,38.647
23,달구벌고등학교,4.0,19.237000000000002
24,달서고등학교,16.0,42.529
25,달성고등학교,33.0,75.526
26,대건고등학교,27.0,63.88
27,대곡고등학교,29.0,67.762
28,대구고등학교,25.0,59.998
29,대구공업고등학교,38.0,85.231
30,대구공업고등학교테크노폴리스캠퍼스,5.0,21.178
31,대구과학고등학교,11.0,32.824
32,대구과학기술고등학교,25.0,59.998
33,대구관광고등학교,24.0,58.057
34,대구국제고등학교,8.0,27.001
35,대구남산고등학교,31.0,71.644
36,대구농업마이스터고등학교,13.0,36.706
37,대구달서공업고등학교,20.0,50.293
38,대구동부고등학교,29.0,67.762
39,대구상원고등학교,35.0,79.408
40,대구서부고등학교,22.0,54.175
41,대구소프트웨어마이스터고등학교,7.0,25.060000000000002
42,대구여자고등학교,35.0,79.408
43,대구여자상업고등학교,23.0,56.116
44,대구외국어고등학교,13.0,36.706
45,대구일과학고등학교,6.0,23.119
46,대구일마이스터고등학교,13.0,36.706
47,대구전자공업고등학교,25.0,59.998
48,대구제일고등학교,24.0,58.057
49,대구제일여자상업고등학교,23.0,56.116
50,대구중앙고등학교,28.0,65.821
51,대구체육고등학교,6.0,23.119
52,대구혜화여자고등학교,30.0,69.703
53,대륜고등학교,38.0,85.231
54,대원고등학교,24.0,58.057
55,대중금속공업고등학교,12.0,34.765
56,대진고등학교,25.0,59.998
57,덕원고등학교,38.0,85.231
58,도원고등학교,21.0,52.234
59,동문고등학교,28.0,65.821
60,매천고등학교,25.0,59.998
61,비슬고등학교,42.0,92.995
62,상서고등학교,38.0,85.231
63,상인고등학교,23.0,56.116
64,성광고등학교,22.0,54.175
65,성산고등학교,23.0,56.116
66,성서고등학교,26.0,61.939
67,성화여자고등학교,30.0,69.703
68,송현여자고등학교,29.0,67.762
69,수성고등학교,23.0,56.116
70,시지고등학교,40.0,89.113
71,신명고등학교,23.0,56.116
72,심인고등학교,18.0,46.411
73,영남고등학교,44.0,96.877
74,영남공업고등학교,35.0,79.408
75,영송여자고등학교,20.0,50.293
76,영신고등학교,26.0,61.939
77,영진고등학교,21.0,52.234
78,오성고등학교,21.0,52.234
79,와룡고등학교,20.0,50.293
80,운암고등학교,29.0,67.762
81,원화여자고등학교,31.0,71.644
82,정동고등학교,20.0,50.293
83,정화여자고등학교,29.0,67.762
84,조일고등학교,17.0,44.47
85,청구고등학교,28.0,65.821
86,칠성고등학교,14.0,38.647
87,포산고등학교,13.0,36.706
88,학남고등학교,30.0,69.703
89,함지고등학교,23.0,56.116
90,현풍고등학교,16.0,42.529
91,협성고등학교,18.0,46.411
92,호산고등학교,23.0,56.116
93,화원고등학교,27.0,63.88
94,효성여자고등학교,26.0,61.939
